epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
104,9342.63,1.19163,0.68595,1.08502,0.59057,0.44593,0.43473,0.19918,2.01767,1.79393,1.58596,0.00197354,0.000657845,0.00197354,0.000657845,0.00197354,0.000657845,0.00197354,0.000657845
105,9428.46,1.18489,0.68117,1.08468,0.56823,0.45739,0.44263,0.2037,2.00646,1.80027,1.57862,0.00196034,0.000653446,0.00196034,0.000653446,0.00196034,0.000653446,0.00196034,0.000653446
106,9513.18,1.18797,0.68643,1.0873,0.59184,0.44185,0.43654,0.20215,1.99884,1.81852,1.58036,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046
107,9597.73,1.20007,0.67913,1.0761,0.60538,0.44829,0.43468,0.20008,2.01652,1.83822,1.58869,0.00193394,0.000644647,0.00193394,0.000644647,0.00193394,0.000644647,0.00193394,0.000644647
108,9757.23,1.18135,0.66911,1.07187,0.59309,0.44695,0.43106,0.1995,2.00942,1.82446,1.59203,0.00192074,0.000640247,0.00192074,0.000640247,0.00192074,0.000640247,0.00192074,0.000640247
109,9843.43,1.15993,0.665,1.06824,0.60817,0.43572,0.4368,0.20163,2.01993,1.83159,1.60225,0.00190754,0.000635848,0.00190754,0.000635848,0.00190754,0.000635848,0.00190754,0.000635848
110,9927.93,1.16103,0.65925,1.06786,0.60107,0.43853,0.43632,0.20058,2.00828,1.84004,1.59148,0.00189434,0.000631448,0.00189434,0.000631448,0.00189434,0.000631448,0.00189434,0.000631448
111,10013.1,1.16576,0.66542,1.0715,0.61024,0.44022,0.44343,0.20378,2.01462,1.81678,1.59683,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048
112,10162.5,1.1545,0.66157,1.06698,0.61502,0.44746,0.44474,0.20463,2.00489,1.81226,1.58812,0.00186795,0.000622649,0.00186795,0.000622649,0.00186795,0.000622649,0.00186795,0.000622649
113,10251,1.17557,0.66578,1.07609,0.61825,0.44936,0.4463,0.20457,2.00238,1.82686,1.58178,0.00185475,0.000618249,0.00185475,0.000618249,0.00185475,0.000618249,0.00185475,0.000618249
114,10354,1.15372,0.65764,1.06453,0.59869,0.43598,0.43923,0.2027,2.00297,1.81626,1.59104,0.00184155,0.00061385,0.00184155,0.00061385,0.00184155,0.00061385,0.00184155,0.00061385
115,10439.1,1.14949,0.6563,1.07045,0.59127,0.44159,0.43041,0.19862,2.01897,1.85581,1.5993,0.00182835,0.00060945,0.00182835,0.00060945,0.00182835,0.00060945,0.00182835,0.00060945
116,10611.5,1.16612,0.67293,1.07122,0.57624,0.45343,0.44266,0.20371,2.00718,1.81472,1.59333,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051
117,10696.8,1.16377,0.66785,1.08059,0.5949,0.46013,0.45168,0.20477,2.01897,1.82291,1.59473,0.00180195,0.000600651,0.00180195,0.000600651,0.00180195,0.000600651,0.00180195,0.000600651
118,10781,1.16174,0.66507,1.07111,0.59408,0.45848,0.44283,0.20305,2.01546,1.84031,1.60454,0.00178875,0.000596251,0.00178875,0.000596251,0.00178875,0.000596251,0.00178875,0.000596251
