epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,2185.11,1.32354,0.61229,0.00627,0.5995,0.44088,0.4524,0.20834,2.13361,2.30698,0.01275,0.000666644,0.000666644,0.000666644
103,3412.29,1.28519,0.61428,0.00646,0.60556,0.47938,0.48137,0.22446,2.13438,2.1342,0.01275,0.000662245,0.000662245,0.000662245
104,4936.31,1.29171,0.61632,0.00634,0.59821,0.42719,0.43159,0.1997,2.14083,2.31708,0.01288,0.000657845,0.000657845,0.000657845
105,6368.82,1.31607,0.60617,0.0061,0.60544,0.44759,0.44202,0.2091,2.11972,2.29821,0.01275,0.000653446,0.000653446,0.000653446
106,7473.64,1.32578,0.60843,0.00592,0.61681,0.44843,0.45803,0.21487,2.12328,2.33943,0.013,0.000649046,0.000649046,0.000649046
107,9176.16,1.29413,0.59445,0.00605,0.6505,0.43789,0.47136,0.22755,2.13065,2.34646,0.01294,0.000644647,0.000644647,0.000644647
108,10668,1.27225,0.59599,0.006,0.60051,0.46467,0.4625,0.21939,2.13555,2.18808,0.01295,0.000640247,0.000640247,0.000640247
109,12357.3,1.28992,0.58659,0.00584,0.62616,0.45652,0.46251,0.22248,2.14145,2.24094,0.01297,0.000635848,0.000635848,0.000635848
110,13806.6,1.28477,0.57902,0.00591,0.63075,0.4341,0.45105,0.21716,2.15909,2.39431,0.01319,0.000631448,0.000631448,0.000631448
111,15548.7,1.28609,0.58522,0.0058,0.58937,0.47539,0.45854,0.21518,2.1104,2.22847,0.01284,0.000627048,0.000627048,0.000627048
112,16914.5,1.28842,0.58529,0.0056,0.60181,0.45641,0.45543,0.21879,2.13269,2.30812,0.01294,0.000622649,0.000622649,0.000622649
113,18874.6,1.25512,0.5725,0.00598,0.61601,0.46022,0.45524,0.2178,2.12323,2.24093,0.01277,0.000618249,0.000618249,0.000618249
114,20483.1,1.27639,0.57801,0.00591,0.61324,0.45221,0.4664,0.21904,2.16565,2.33028,0.01304,0.00061385,0.00061385,0.00061385
115,21811.4,1.23874,0.55927,0.00592,0.61332,0.4489,0.45955,0.22103,2.14097,2.30527,0.01289,0.00060945,0.00060945,0.00060945
116,22779.5,1.25118,0.5676,0.00576,0.63027,0.4446,0.45588,0.21464,2.13088,2.28916,0.01279,0.000605051,0.000605051,0.000605051
117,24076.9,1.26095,0.56507,0.0055,0.62684,0.45901,0.46163,0.21662,2.12804,2.32256,0.01275,0.000600651,0.000600651,0.000600651
118,25558.9,1.24509,0.56426,0.00563,0.59687,0.47557,0.48414,0.22922,2.14293,2.21478,0.01299,0.000596251,0.000596251,0.000596251
119,27069.9,1.23218,0.5574,0.00555,0.64028,0.45298,0.46624,0.2241,2.11871,2.19408,0.01272,0.000591852,0.000591852,0.000591852
