epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
68,17584.4,1.02459,0.54174,1.03404,0.57844,0.46488,0.45182,0.21533,1.97919,1.88836,1.66886,0.00244869,0.000816229,0.00244869,0.000816229,0.00244869,0.000816229,0.00244869,0.000816229
69,18386.9,1.02545,0.53155,1.03148,0.60996,0.46476,0.45916,0.21911,1.98714,1.941,1.66989,0.00243549,0.00081183,0.00243549,0.00081183,0.00243549,0.00081183,0.00243549,0.00081183
70,18805.9,1.01774,0.53831,1.03668,0.61508,0.46805,0.46199,0.21684,1.9979,1.90293,1.66961,0.00242229,0.00080743,0.00242229,0.00080743,0.00242229,0.00080743,0.00242229,0.00080743
71,19196.3,1.01054,0.52735,1.02597,0.62539,0.45941,0.46536,0.22106,1.97899,1.88313,1.65945,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031
72,19576.3,1.01199,0.53046,1.02532,0.6141,0.45001,0.4521,0.21329,1.97326,1.96913,1.65469,0.00239589,0.000798631,0.00239589,0.000798631,0.00239589,0.000798631,0.00239589,0.000798631
73,20180.7,1.06302,0.56502,1.05524,0.62238,0.44726,0.45521,0.20992,1.98246,1.8619,1.64742,0.0023827,0.000794232,0.0023827,0.000794232,0.0023827,0.000794232,0.0023827,0.000794232
74,20621.9,1.05002,0.56175,1.04023,0.5761,0.49076,0.45867,0.21665,1.9676,1.81409,1.63541,0.0023695,0.000789832,0.0023695,0.000789832,0.0023695,0.000789832,0.0023695,0.000789832
75,21414.1,1.06062,0.56685,1.05349,0.62417,0.45362,0.45668,0.21354,1.97687,1.82466,1.6362,0.0023563,0.000785433,0.0023563,0.000785433,0.0023563,0.000785433,0.0023563,0.000785433
76,22053.5,1.05835,0.56497,1.0424,0.60456,0.46808,0.4611,0.21399,1.99506,1.84492,1.65557,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033
77,22434.9,1.03246,0.54795,1.03258,0.63472,0.4572,0.46781,0.21933,1.9681,1.84265,1.63726,0.0023299,0.000776633,0.0023299,0.000776633,0.0023299,0.000776633,0.0023299,0.000776633
78,22911,1.04291,0.55637,1.0435,0.60238,0.47664,0.47018,0.21918,1.99425,1.88699,1.66666,0.0023167,0.000772234,0.0023167,0.000772234,0.0023167,0.000772234,0.0023167,0.000772234
79,23356.2,1.04216,0.55309,1.03956,0.6393,0.45127,0.46907,0.22062,1.97543,1.80775,1.64632,0.0023035,0.000767834,0.0023035,0.000767834,0.0023035,0.000767834,0.0023035,0.000767834
80,23882,1.04341,0.55171,1.03653,0.61197,0.47672,0.47076,0.21947,1.98002,1.8444,1.6477,0.0022903,0.000763435,0.0022903,0.000763435,0.0022903,0.000763435,0.0022903,0.000763435
81,24673.2,1.03124,0.54605,1.03288,0.63543,0.4653,0.46659,0.21788,1.99786,1.87822,1.67671,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035
82,25105.2,1.02155,0.54537,1.02945,0.61041,0.46544,0.46512,0.21641,1.98389,1.82479,1.65492,0.00226391,0.000754636,0.00226391,0.000754636,0.00226391,0.000754636,0.00226391,0.000754636
83,25575.4,1.0313,0.54624,1.02898,0.6306,0.46515,0.47433,0.22214,2.00723,1.88315,1.66747,0.00225071,0.000750236,0.00225071,0.000750236,0.00225071,0.000750236,0.00225071,0.000750236
84,25969.7,1.03144,0.53726,1.02687,0.61254,0.46511,0.47076,0.21925,1.98818,1.87039,1.65411,0.00223751,0.000745837,0.00223751,0.000745837,0.00223751,0.000745837,0.00223751,0.000745837
85,26852.7,1.01113,0.53079,1.0241,0.61291,0.45933,0.4551,0.21393,1.963,1.8704,1.63835,0.00222431,0.000741437,0.00222431,0.000741437,0.00222431,0.000741437,0.00222431,0.000741437
86,27266.3,1.01133,0.5298,1.01844,0.61145,0.47077,0.47011,0.21967,1.96353,1.8634,1.63648,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037
87,27850,1.01057,0.53075,1.02031,0.60006,0.47148,0.47077,0.22133,1.97093,1.86082,1.64505,0.00219791,0.000732638,0.00219791,0.000732638,0.00219791,0.000732638,0.00219791,0.000732638
88,28408,0.99975,0.5293,1.01943,0.59325,0.47481,0.47234,0.22262,1.98669,1.89396,1.65687,0.00218471,0.000728238,0.00218471,0.000728238,0.00218471,0.000728238,0.00218471,0.000728238
