epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
88,5145.98,1.5337,1.22277,1.27232,0.48148,0.38345,0.36149,0.16007,1.98905,1.91977,1.53158,0.00218471,0.000728238,0.00218471,0.000728238,0.00218471,0.000728238,0.00218471,0.000728238
89,5200.95,1.54516,1.21963,1.27565,0.49296,0.38008,0.36711,0.16339,1.97608,1.88885,1.52425,0.00217152,0.000723839,0.00217152,0.000723839,0.00217152,0.000723839,0.00217152,0.000723839
90,5258.7,1.54587,1.21745,1.26451,0.46954,0.38229,0.35757,0.15789,1.98017,1.91883,1.53215,0.00215832,0.000719439,0.00215832,0.000719439,0.00215832,0.000719439,0.00215832,0.000719439
91,5313.64,1.53778,1.2231,1.27188,0.50556,0.38002,0.36133,0.16167,1.98269,1.92465,1.52488,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504
92,5368.35,1.54423,1.21709,1.26848,0.49255,0.37544,0.35719,0.15749,1.97171,1.88359,1.51681,0.00213192,0.00071064,0.00213192,0.00071064,0.00213192,0.00071064,0.00213192,0.00071064
93,5423.44,1.5284,1.21387,1.26662,0.53079,0.37209,0.35883,0.15811,1.98761,1.90143,1.52524,0.00211872,0.00070624,0.00211872,0.00070624,0.00211872,0.00070624,0.00211872,0.00070624
94,5479.55,1.55961,1.22308,1.26667,0.50571,0.38006,0.36098,0.15872,1.97181,1.90108,1.52175,0.00210552,0.000701841,0.00210552,0.000701841,0.00210552,0.000701841,0.00210552,0.000701841
95,5534.42,1.52064,1.18964,1.26097,0.50634,0.37715,0.35238,0.15501,1.96595,1.88746,1.52322,0.00209232,0.000697441,0.00209232,0.000697441,0.00209232,0.000697441,0.00209232,0.000697441
96,5589.98,1.5257,1.20945,1.26698,0.50818,0.36994,0.3582,0.15879,1.99093,1.89816,1.53491,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042
97,5644.68,1.52005,1.19418,1.26448,0.51471,0.38978,0.37497,0.16557,1.97753,1.89002,1.5264,0.00206593,0.000688642,0.00206593,0.000688642,0.00206593,0.000688642,0.00206593,0.000688642
98,5700.23,1.55635,1.21893,1.26871,0.51551,0.37427,0.36325,0.16114,1.9821,1.89513,1.52388,0.00205273,0.000684243,0.00205273,0.000684243,0.00205273,0.000684243,0.00205273,0.000684243
99,5754.98,1.50898,1.19637,1.26267,0.53163,0.36812,0.36379,0.15882,1.98997,1.88147,1.5275,0.00203953,0.000679843,0.00203953,0.000679843,0.00203953,0.000679843,0.00203953,0.000679843
100,5809.44,1.50402,1.18451,1.26249,0.50933,0.36823,0.36289,0.16034,1.99153,1.88833,1.53559,0.00202633,0.000675444,0.00202633,0.000675444,0.00202633,0.000675444,0.00202633,0.000675444
101,5866.73,1.52756,1.18267,1.25474,0.50041,0.39002,0.36536,0.16154,1.97099,1.86817,1.51958,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044
102,5921.4,1.50601,1.18132,1.26448,0.5079,0.38521,0.37066,0.16232,1.9902,1.88012,1.53323,0.00199993,0.000666644,0.00199993,0.000666644,0.00199993,0.000666644,0.00199993,0.000666644
103,5976.36,1.51436,1.16708,1.25374,0.51572,0.37721,0.36185,0.16153,1.97416,1.87862,1.52333,0.00198673,0.000662245,0.00198673,0.000662245,0.00198673,0.000662245,0.00198673,0.000662245
104,6031.35,1.53221,1.18127,1.25835,0.52045,0.38836,0.37131,0.16763,1.98503,1.86205,1.5304,0.00197354,0.000657845,0.00197354,0.000657845,0.00197354,0.000657845,0.00197354,0.000657845
105,6086.31,1.51615,1.17201,1.25557,0.51851,0.39592,0.37512,0.1649,1.99774,1.88461,1.53624,0.00196034,0.000653446,0.00196034,0.000653446,0.00196034,0.000653446,0.00196034,0.000653446
106,6141.58,1.52372,1.19982,1.26242,0.53635,0.36762,0.3639,0.16125,1.98967,1.90374,1.53218,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046
107,6196.8,1.53647,1.15916,1.24237,0.49015,0.39499,0.3637,0.15812,1.99685,1.88518,1.52818,0.00193394,0.000644647,0.00193394,0.000644647,0.00193394,0.000644647,0.00193394,0.000644647
108,6251.96,1.51162,1.14555,1.24009,0.4968,0.39102,0.36275,0.16243,1.97789,1.89943,1.52759,0.00192074,0.000640247,0.00192074,0.000640247,0.00192074,0.000640247,0.00192074,0.000640247
109,6307.33,1.50133,1.1521,1.24173,0.51541,0.38743,0.37102,0.16765,1.9948,1.8913,1.53698,0.00190754,0.000635848,0.00190754,0.000635848,0.00190754,0.000635848,0.00190754,0.000635848
110,6362.21,1.50356,1.14453,1.24231,0.53607,0.37772,0.37059,0.16668,1.99161,1.86549,1.52982,0.00189434,0.000631448,0.00189434,0.000631448,0.00189434,0.000631448,0.00189434,0.000631448
111,6417.28,1.5007,1.14456,1.23865,0.54013,0.37937,0.37256,0.16495,1.98766,1.8739,1.53126,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048
112,6474.3,1.49859,1.14675,1.23733,0.52833,0.3808,0.36707,0.15838,1.99461,1.8723,1.53922,0.00186795,0.000622649,0.00186795,0.000622649,0.00186795,0.000622649,0.00186795,0.000622649
113,6538.71,1.50217,1.13355,1.24124,0.52917,0.40838,0.37232,0.1629,1.992,1.86266,1.53488,0.00185475,0.000618249,0.00185475,0.000618249,0.00185475,0.000618249,0.00185475,0.000618249
114,6594.78,1.49428,1.14338,1.23454,0.50607,0.39385,0.36644,0.16352,1.99915,1.88099,1.54378,0.00184155,0.00061385,0.00184155,0.00061385,0.00184155,0.00061385,0.00184155,0.00061385
115,6649.68,1.49089,1.14508,1.24215,0.50399,0.38942,0.36679,0.15885,2.00586,1.89066,1.54723,0.00182835,0.00060945,0.00182835,0.00060945,0.00182835,0.00060945,0.00182835,0.00060945
116,6729.32,1.5089,1.15991,1.24372,0.51751,0.39699,0.37183,0.16204,1.99464,1.88128,1.53501,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051
117,6785,1.50134,1.14709,1.24936,0.50003,0.39894,0.37516,0.16627,1.99614,1.88994,1.54381,0.00180195,0.000600651,0.00180195,0.000600651,0.00180195,0.000600651,0.00180195,0.000600651
118,6840.09,1.50478,1.14585,1.24333,0.51079,0.39721,0.37434,0.16386,1.99025,1.90921,1.53586,0.00178875,0.000596251,0.00178875,0.000596251,0.00178875,0.000596251,0.00178875,0.000596251
119,6894.95,1.49694,1.14964,1.25132,0.53012,0.38631,0.37108,0.16337,1.99216,1.89158,1.53409,0.00177556,0.000591852,0.00177556,0.000591852,0.00177556,0.000591852,0.00177556,0.000591852
