epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,29130.2,1.13488,0.65236,1.15568,0.61882,0.43215,0.43774,0.20333,2.01202,1.84412,1.85413,0.000675444,0.000675444,0.000675444
101,29444.3,1.12502,0.64693,1.14924,0.62167,0.42028,0.43389,0.20062,2.02506,1.83916,1.88594,0.000671044,0.000671044,0.000671044
102,29952.8,1.1244,0.63527,1.14976,0.57968,0.45808,0.42708,0.19311,2.01707,1.80837,1.88523,0.000666644,0.000666644,0.000666644
103,30465.1,1.12235,0.62255,1.13636,0.57272,0.43794,0.42451,0.19481,2.04445,1.83322,1.90076,0.000662245,0.000662245,0.000662245
104,30776.1,1.10128,0.61982,1.13536,0.59516,0.44911,0.44367,0.2037,2.0069,1.81864,1.8884,0.000657845,0.000657845,0.000657845
105,31334.4,1.12843,0.62793,1.13567,0.55076,0.46329,0.43712,0.20221,2.02232,1.82888,1.88627,0.000653446,0.000653446,0.000653446
106,31696.2,1.09121,0.60792,1.12032,0.61188,0.44089,0.43162,0.20068,2.02116,1.82273,1.89136,0.000649046,0.000649046,0.000649046
107,32260.5,1.10072,0.61652,1.13386,0.62605,0.4335,0.42727,0.19775,2.00865,1.845,1.87662,0.000644647,0.000644647,0.000644647
108,32628.9,1.08994,0.61235,1.13602,0.6028,0.46137,0.44539,0.20627,1.99812,1.81986,1.85878,0.000640247,0.000640247,0.000640247
109,32987.4,1.09698,0.61767,1.13398,0.61001,0.45296,0.447,0.20977,1.99649,1.83845,1.8718,0.000635848,0.000635848,0.000635848
110,33346.4,1.09649,0.61491,1.1305,0.59684,0.44674,0.44016,0.20518,2.01583,1.86951,1.87609,0.000631448,0.000631448,0.000631448
111,33765.5,1.07204,0.59781,1.12986,0.59714,0.45885,0.43678,0.20276,2.04151,1.81394,1.91061,0.000627048,0.000627048,0.000627048
112,34170.2,1.09703,0.59878,1.12098,0.59422,0.44058,0.43576,0.20324,2.04495,1.86691,1.90829,0.000622649,0.000622649,0.000622649
113,34862.1,1.06573,0.58145,1.11046,0.59893,0.45608,0.44745,0.20765,2.0336,1.86941,1.90773,0.000618249,0.000618249,0.000618249
114,35522.5,1.07199,0.5882,1.11987,0.59632,0.4486,0.42971,0.20133,2.01819,1.85011,1.8885,0.00061385,0.00061385,0.00061385
115,35884,1.06336,0.59221,1.11323,0.58578,0.4438,0.42983,0.20257,2.02096,1.82387,1.91452,0.00060945,0.00060945,0.00060945
116,36340.3,1.07118,0.59138,1.11093,0.59497,0.44248,0.4323,0.20443,2.02699,1.84215,1.91436,0.000605051,0.000605051,0.000605051
117,36724.4,1.05915,0.58,1.10785,0.62533,0.44008,0.43737,0.20439,2.02858,1.90629,1.91135,0.000600651,0.000600651,0.000600651
118,37078.4,1.04874,0.58056,1.10006,0.57619,0.45346,0.41895,0.19692,2.03506,1.87535,1.92177,0.000596251,0.000596251,0.000596251
119,37623.3,1.03349,0.57784,1.1072,0.59187,0.44212,0.43662,0.20297,2.01275,1.85047,1.9004,0.000591852,0.000591852,0.000591852
120,38424.9,1.06298,0.58557,1.10093,0.6363,0.43628,0.44674,0.21182,2.01802,1.90369,1.89655,0.000587452,0.000587452,0.000587452
121,38796.1,1.04681,0.57331,1.09919,0.62967,0.43066,0.4325,0.20267,2.03185,1.89455,1.92937,0.000583053,0.000583053,0.000583053
122,39282.3,1.04498,0.5845,1.1009,0.6078,0.42908,0.42393,0.20075,2.0384,1.90517,1.9344,0.000578653,0.000578653,0.000578653
